,GLA,REIT,city,free_GLA,last_renovation,ownership,pct_lease,property_name,renovation_year,rent_per_sq,state,tenants,year_acquired,year_built,year_built_or_acquired,zipcode
570,685713.0,GGP,Bellingham,347403.0,,100.0,92.9,Bellis Fair,,,WA,"[""JCPenney, Kohl's, Macy's, Target""]",,,,
571,1211363.0,GGP,Boise,423406.0,,100.0,96.5,Boise Towne Square,,,ID,"[""Dillard's, JCPenney, Macy's, Sears, Kohl's""]",,,,
572,1165475.0,GGP,Waterbury,448245.0,,100.0,97.6,Brass Mill Center,,,CT,"[""Burlington Coat Factory, JCPenney, Macy's,"", 'Sears']",,,,
573,922996.0,GGP,Naples,332606.0,,100.0,99.6,Coastland Center,,,FL,"[""Dillard's, JCPenney, Macy's, Sears""]",,,,
574,727193.0,GGP,Columbia,306133.0,,100.0,98.7,Columbia Mall,,,MO,"[""Dillard's, JCPenney, Sears, Target""]",,,,
575,786034.0,GGP,Columbia,265115.0,,100.0,98.9,Columbiana Centre,,,SC,"[""Belk, Dillard's, JCPenney""]",,,,
576,1051901.0,GGP,Coralville,510940.0,,100.0,97.7,Coral Ridge Mall,,,IA,"[""Dillard's, JCPenney, Target, Younkers""]",,,,
577,1108759.0,GGP,Albuquerque,522122.0,,100.0,100.0,Coronado Center,,,NM,"[""JCPenney, Kohl's, Macy's, Sears""]",,,,
578,901340.0,GGP,St. Cloud,377898.0,,100.0,98.3,Crossroads Center,,,MN,"[""JCPenney, Macy's, Sears, Target""]",,,,
579,1037458.0,GGP,Atlanta,536883.0,,100.0,99.5,Cumberland Mall,,,GA,"[""Macy's, Sears""]",,,,
580,1293035.0,GGP,Humble,639495.0,,100.0,100.0,Deerbrook Mall,,,TX,"[""Dillard's, JCPenney, Macy's, Sears""]",,,,
581,570951.0,GGP,Casper,281155.0,,100.0,92.2,Eastridge Mall WY,,,WY,"[""JCPenney, Macy's, Sears, Target""]",,,,
